iter	MultiClass
0	2.464571961
1	2.256658476
2	2.113115218
3	2.003446225
4	1.920238513
5	1.83633373
6	1.766151246
7	1.710097659
8	1.663132903
9	1.627607988
10	1.582035026
11	1.557464474
12	1.534079911
13	1.49559722
14	1.467728653
15	1.449620634
16	1.424675567
17	1.403531207
18	1.383855171
19	1.361555496
20	1.346853794
21	1.330561381
22	1.314162232
23	1.303376972
24	1.287251784
25	1.278914251
26	1.26590976
27	1.255095859
28	1.245026214
29	1.23543696
30	1.228654141
31	1.218229075
32	1.21066663
33	1.202628412
34	1.195706069
35	1.187733896
36	1.181555731
37	1.176293978
38	1.17123568
39	1.162525823
40	1.153990234
41	1.148623701
42	1.143732785
43	1.137108035
44	1.13189112
45	1.127532709
46	1.121207587
47	1.115565607
48	1.111280988
49	1.106742519
50	1.101383342
51	1.09829872
52	1.091781176
53	1.087849631
54	1.082820208
55	1.079979967
56	1.077671294
57	1.073310692
58	1.070174972
59	1.067037373
60	1.062263522
61	1.060087955
62	1.056739546
63	1.05369984
64	1.049565466
65	1.047033069
66	1.043266089
67	1.040793868
68	1.037805105
69	1.035445646
70	1.031664189
71	1.029262786
72	1.02741048
73	1.024537608
74	1.021645252
75	1.018219842
76	1.01510431
77	1.012457666
78	1.009167788
79	1.007059597
80	1.004885282
81	1.002103183
82	1.000154861
83	0.9981304777
84	0.9962722236
85	0.9943109115
86	0.9924258952
87	0.9904739733
88	0.9884040472
89	0.9859144547
90	0.9842805496
91	0.9820886284
92	0.9809405127
93	0.9794015275
94	0.9776320896
95	0.9760497527
96	0.9743033993
97	0.971936741
98	0.9704958057
99	0.9691386785
100	0.9667895486
101	0.9654200576
102	0.9641930637
103	0.9628733411
104	0.9607129554
105	0.9585541348
106	0.957346391
107	0.9555693627
108	0.9536943627
109	0.9518631839
110	0.9507242237
111	0.9484646926
112	0.9469515306
113	0.9455383749
114	0.9443575498
115	0.9429978402
116	0.9412476524
117	0.9399576656
118	0.9389415613
