iter	Passed	Remaining
0	853	2559126
1	1439	2157305
2	2072	2070445
3	2658	1991145
4	3242	1942225
5	3835	1913902
6	4422	1890720
7	4960	1855219
8	5526	1836546
9	6106	1825888
10	6689	1817777
11	7292	1815927
12	7874	1809338
13	8461	1804673
14	9069	1804779
15	9682	1805716
16	10235	1796062
17	10816	1791880
18	11442	1795309
19	12037	1793618
20	12610	1788836
21	13271	1796451
22	13848	1792488
23	14381	1783324
24	15052	1791192
25	15634	1788316
26	16220	1786027
27	16677	1770242
28	17143	1756272
29	17717	1754075
30	18330	1755543
31	18864	1749642
32	19366	1741260
33	19955	1740864
34	20465	1733712
35	21021	1730772
36	21580	1728221
37	22124	1724584
38	22610	1716623
39	23121	1711016
40	23645	1706536
41	24237	1706988
42	24854	1709184
43	25457	1710253
44	26103	1714124
45	26638	1710627
46	27095	1702375
47	27672	1701888
48	28226	1699935
49	28755	1696593
50	29365	1698024
51	29984	1699877
52	30564	1699527
53	31177	1700907
54	31759	1700602
55	32400	1703363
56	32940	1700755
57	33543	1701451
58	34171	1703376
59	34810	1705724
60	35355	1703455
61	36000	1705940
62	36535	1703271
63	37075	1700816
64	37611	1698291
65	38192	1697823
66	38640	1691512
67	39229	1691482
68	39837	1692214
69	40274	1685771
70	40973	1690316
71	41574	1690682
72	42136	1689503
73	42752	1690475
74	43241	1686406
75	43634	1678776
76	44203	1678007
77	44733	1675793
78	45158	1669718
79	45723	1668897
80	46410	1672491
81	46907	1669209
82	47615	1673415
83	48167	1672116
84	48730	1671182
85	49268	1669395
86	49863	1669556
87	50377	1667022
88	51015	1668604
89	51601	1668464
90	52218	1669258
91	52692	1665528
92	53326	1666873
93	53917	1666845
94	54360	1662300
95	54898	1660677
96	55466	1659987
97	56048	1659715
98	56628	1659390
99	57127	1656694
100	57623	1653978
101	58148	1652099
102	58759	1652668
103	59384	1653623
104	59893	1651337
105	60468	1650910
106	61052	1650711
107	61500	1646859
108	61945	1642983
109	62570	1643903
110	63200	1644925
111	63805	1645282
112	64441	1646389
113	65081	1647580
114	65640	1646723
115	66147	1644556
116	66629	1641829
117	67084	1638461
118	67683	1638617
119	68277	1638671
120	68877	1638833
121	69319	1635252
122	69902	1635047
123	70448	1633952
124	71068	1634576
125	71786	1637414
126	72401	1637866
127	72882	1635298
128	73503	1635873
129	74203	1638191
130	74843	1639119
131	75343	1637013
132	75793	1633842
133	76427	1634633
134	77058	1635348
135	77652	1635265
136	78254	1635344
137	78787	1633991
138	79445	1635207
139	79992	1634140
140	80581	1633916
141	81256	1635426
142	81851	1635308
143	82487	1635993
144	83039	1635015
145	83686	1635898
146	84227	1634698
147	84790	1633934
148	85387	1633823
149	86076	1635461
150	86804	1637780
151	87252	1634842
152	87724	1632362
153	88206	1630098
154	88915	1632031
155	89563	1632805
156	90302	1635216
157	90824	1633696
158	91419	1633477
159	92126	1635245
160	92817	1636694
161	93457	1637244
162	93939	1635016
163	94563	1635257
164	95077	1633601
165	95650	1632974
166	96215	1632211
167	96809	1631937
168	97345	1630685
169	97857	1629034
170	98513	1629791
171	99120	1629733
172	99659	1628541
173	100368	1630124
174	100836	1627783
175	101280	1625093
176	101876	1624846
177	102461	1624420
178	103028	1623712
179	103542	1622172
180	104247	1623606
181	104863	1623651
182	105555	1624862
183	106162	1624746
184	106904	1626685
185	107520	1626683
186	108151	1626903
187	108819	1627661
188	109445	1627780
189	109934	1625873
190	110443	1624275
191	110986	1623183
192	111570	1622688
193	112316	1624541
194	112855	1623377
195	113510	1623891
196	114168	1624440
197	114764	1624088
198	115479	1625423
199	116095	1625336
200	116616	1623926
201	117214	1623592
202	117819	1623362
203	118388	1622616
204	118971	1622079
205	119629	1622554
206	120184	1621616
207	120739	1620691
208	121383	1620957
209	122039	1621385
210	122644	1621110
211	123312	1621681
212	123973	1622132
213	124657	1622883
214	125316	1623291
215	125969	1623603
216	126522	1622638
217	127233	1623689
218	127797	1622847
219	128380	1622266
220	129002	1622164
221	129545	1621065
222	130020	1619138
223	130614	1618681
224	131258	1618850
225	131976	1619929
226	132611	1619963
227	133120	1618465
228	133594	1616549
229	134141	1615528
230	134661	1614187
231	135294	1614200
232	135947	1614455
233	136638	1615138
234	137243	1614797
235	137782	1613687
236	138527	1614982
237	139203	1615458
238	139746	1614397
239	140329	1613784
240	140908	1613136
241	141481	1612418
242	142098	1612201
243	142644	1611180
244	143271	1611068
245	143865	1610594
246	144487	1610417
247	144998	1609013
248	145576	1608354
249	146251	1608770
250	146826	1608071
251	147529	1608777
252	148168	1608767
253	148642	1606980
254	149306	1607240
255	149900	1606747
256	150479	1606089
257	151175	1606683
258	151760	1606079
259	152394	1606005
260	152983	1605444
261	153706	1606293
262	154269	1605461
263	154911	1605442
264	155609	1606008
265	156359	1607089
266	156958	1606617
267	157371	1604254
268	158071	1604810
269	158633	1603963
270	159162	1602784
271	159879	1603499
272	160470	1602938
273	161122	1602994
274	161715	1602453
275	162292	1601754
276	162914	1601498
277	163553	1601411
278	164145	1600859
279	164718	1600127
280	165302	1599493
281	165916	1599155
282	166512	1598639
283	167221	1599205
284	167916	1599629
285	168534	1599314
286	169190	1599353
287	169708	1598086
288	170296	1597484
289	170911	1597138
290	171454	1596118
291	172065	1595731
292	172673	1595318
293	173237	1594494
294	173857	1594187
295	174369	1592889
296	174943	1592166
297	175424	1590595
298	175996	1589855
299	176433	1587900
300	177136	1588344
301	177802	1588447
302	178566	1589416
303	179185	1589094
304	179819	1588892
305	180496	1589079
306	181189	1589392
307	181783	1588831
308	182389	1588386
309	183205	1589749
310	183875	1589844
311	184671	1591020
312	185349	1591165
313	186038	1591399
314	186712	1591499
315	187276	1590668
316	187820	1589661
317	188620	1590818
318	189250	1590530
319	189839	1589906
320	190397	1589017
321	191015	1588635
322	191585	1587844
323	192191	1587355
324	192924	1587919
325	193527	1587401
326	194149	1587041
327	194823	1587099
328	195224	1584941
329	195857	1584669
330	196424	1583855
331	196934	1582590
332	197497	1581759
333	198004	1580476
334	198586	1579796
335	199030	1578031
336	199633	1577520
337	200165	1576452
338	200900	1576980
339	201542	1576771
340	202215	1576803
341	202921	1577088
342	203456	1576047
343	204039	1575376
344	204627	1574742
345	205322	1574929
346	206223	1576684
347	207351	1580157
348	208235	1581753
349	209300	1584703
350	210186	1586278
351	210921	1586704
352	211769	1587970
353	212432	1587840
354	213141	1588054
355	214119	1590257
356	215173	1593004
357	216189	1595452
358	217159	1597547
359	217786	1597098
360	218545	1597618
361	219313	1598198
362	220324	1600542
363	221262	1602330
364	222213	1604195
365	223379	1607598
366	224075	1607602
367	224941	1608818
368	225762	1609701
369	226646	1611027
370	227415	1611527
371	228396	1613512
372	229687	1617663
373	231015	1622048
374	231776	1622438
375	232606	1623297
376	233363	1623637
377	234062	1623573
378	235415	1628028
379	236291	1629168
380	236994	1629103
381	237506	1627725
382	238326	1628457
383	239105	1628906
384	239744	1628394
385	240246	1626954
386	241098	1627884
387	241674	1626945
388	242402	1627026
389	243247	1627885
390	244143	1629079
391	244828	1628859
392	245584	1629105
393	246284	1628975
394	247020	1629081
395	247785	1629379
396	248548	1629650
397	249114	1628633
398	249760	1628138
399	250396	1627575
400	250975	1626646
401	251603	1626037
402	252103	1624594
403	252678	1623645
404	253634	1625136
405	254123	1623635
406	254845	1623625
407	255845	1625369
408	256393	1624243
409	257129	1624306
410	257746	1623614
411	258499	1623776
412	259120	1623112
413	259607	1621605
414	260188	1620694
415	260856	1620322
416	261611	1620485
417	262295	1620208
418	262949	1619743
419	263682	1619763
420	264445	1619966
421	265160	1619865
422	265860	1619673
423	266542	1619368
424	267280	1619405
425	267933	1618921
426	268610	1618580
427	269096	1617094
428	269861	1617280
429	270444	1616377
430	271110	1615972
431	271778	1615570
432	272390	1614838
433	272965	1613893
434	273704	1613913
435	274307	1613127
436	275139	1613692
437	275758	1612997
438	276411	1612505
439	277170	1612627
440	277931	1612760
441	278722	1613059
