Model,Seed,Macro F1,Time
Stylo,42,0.2874009291157562,275.83039116859436
BERT,42,0.445688303616442,1193.007517337799
Hybrid,42,0.46409582737846056,1229.468863248825
Stylo,100,0.28772554918995263,97.9406099319458
BERT,100,0.44254972004236476,1622.492259979248
Hybrid,100,0.4657965310775975,2556.939839363098
Stylo,200,0.28799584145819535,97.99254179000854
BERT,200,0.44568655586538913,1246.9009490013123
Hybrid,200,0.4666451060406598,2623.804666519165
Stylo,300,0.2892400589691027,90.33433437347412
BERT,300,0.44640194942160305,898.7630777359009
Hybrid,300,0.46620398565206866,1030.9198348522186
Stylo,400,0.2875024355093943,92.35044646263123
BERT,400,0.4445137982072512,950.4209377765656
Hybrid,400,0.46800435048287686,946.1401627063751
